,Bairro,Homicidios,Populacao,rate
0,AEROLANDIA,17,11.36,1.4964788732394367
1,AEROPORTO,2,8.618,0.23207240659085634
2,JOSE DE ALENCAR,20,16.003,1.2497656689370742
3,ALDEOTA,8,42.361000000000004,0.18885295436840488
4,ALTO DA BALANCA,10,12.814,0.7803964413922273
5,ALVARO WEYNE,21,23.69,0.8864499788940481
6,AMADEU FURTADO,0,11.703,0.0
7,ANCURI,18,20.07,0.8968609865470852
8,ANTONIO BEZERRA,16,25.846,0.6190513038768087
9,AUTRAN NUNES,18,21.208000000000002,0.8487363259147491
10,DE LOURDES,0,3.37,0.0
11,BARRA DO CEARA,70,72.423,0.9665437775292379
12,BARROSO,45,29.846999999999998,1.5076892149964822
13,BELA VISTA,17,16.754,1.014683060761609
14,BENFICA,2,12.954,0.1543924656476764
15,BOM FUTURO,0,6.405,0.0
16,BOM JARDIM,53,37.758,1.4036760421632501
17,BONSUCESSO,25,41.198,0.606825574056993
18,CAIS DO PORTO,19,22.381999999999998,0.8488964346349747
19,CAJAZEIRAS,11,14.478,0.7597734493714602
20,CAMBEBA,4,7.625,0.5245901639344263
21,CANINDEZINHO,29,41.202,0.7038493277025387
22,CARLITO PAMPLONA,17,29.076,0.58467464575595
23,CENTRO,30,28.538,1.0512299390286635
24,CIDADE 2000,5,8.272,0.6044487427466151
25,CIDADE DOS FUNCIONARIOS,9,18.256,0.492988606485539
26,COACU,0,7.188,0.0
27,COCO,1,20.491999999999997,0.04879953152449737
28,CONJUNTO CEARA I,7,19.221,0.3641850059830394
29,CONJUNTO CEARA II,6,23.673000000000002,0.2534533012292485
30,CONJUNTO ESPERANCA,15,16.405,0.9143553794574825
31,CONJUNTO PALMEIRAS,46,36.599000000000004,1.2568649416650728
32,COUTO FERNANDES,4,5.26,0.7604562737642586
33,CRISTO REDENTOR,17,26.717,0.6362989856645582
34,CURIO,11,7.636,1.4405447878470403
35,DAMAS,2,10.719000000000001,0.18658456945610596
36,DEMOCRITO ROCHA,5,10.994000000000002,0.45479352374022186
37,DENDE,5,5.6370000000000005,0.8869966294128082
38,DIAS MACEDO,10,12.110999999999999,0.8256956485839321
39,DIONISIO TORRES,3,15.634,0.19188947166432135
40,DOM LUSTOSA,4,13.147,0.30425192059024875
41,MANUEL DIAS BRANCO,3,1.4469999999999998,2.0732550103662755
42,EDSON QUEIROZ,24,22.21,1.0805943268797837
43,VILA ELLERY,6,7.8629999999999995,0.7630675314765357
44,ENG LUCIANO CAVALCANTE,1,15.543,0.06433764395547835
45,FARIAS BRITO,1,12.062999999999999,0.08289811821271657
46,FATIMA,7,23.309,0.30031318374876653
47,FLORESTA,10,28.896,0.34606866002214837
48,GENIBAU,37,40.336,0.9172947243157478
49,GRANJA LISBOA,32,52.042,0.614887975097037
50,GRANJA PORTUGAL,26,39.650999999999996,0.6557211671836777
51,GUAJERU,0,6.667999999999999,0.0
52,PATRIOLINO RIBEIRO,2,5.266,0.379794910748196
53,HENRIQUE JORGE,6,26.994,0.2222716159146477
54,ITAOCA,10,12.477,0.8014747134727899
55,ITAPERI,8,22.563000000000002,0.35456277977219336
56,JACARECANGA,11,14.204,0.774429738101943
57,JANGURUSSU,57,50.479,1.1291824322985797
58,JARDIM AMERICA,8,12.264000000000001,0.6523157208088715
59,JARDIM CEARENSE,1,10.103,0.09898050084133427
60,JARDIM DAS OLIVEIRAS,31,29.570999999999998,1.0483243718507997
