Bairro,Populacao,Homicidios,rate
AEROLANDIA,11360.0,17.0,0.0014964788732394366
AEROPORTO,8618.0,2.0,0.00023207240659085636
ALDEOTA,42361.0,8.0,0.0001888529543684049
ALTO DA BALANCA,12814.0,10.0,0.0007803964413922273
ALVARO WEYNE,23690.0,21.0,0.0008864499788940482
AMADEU FURTADO,11703.0,0.0,0.0
ANCURI,20070.0,18.0,0.0008968609865470852
ANTONIO BEZERRA,25846.0,16.0,0.0006190513038768088
MOURA BRASIL,3765.0,6.0,0.0015936254980079682
AUTRAN NUNES,21208.0,18.0,0.0008487363259147492
BARRA DO CEARA,72423.0,70.0,0.000966543777529238
BARROSO,29847.0,45.0,0.001507689214996482
BELA VISTA,16754.0,17.0,0.0010146830607616092
BENFICA,12954.0,2.0,0.0001543924656476764
BOA VISTA,12247.0,1.0,8.165264962848044e-05
BOM FUTURO,6405.0,0.0,0.0
BOM JARDIM,37758.0,53.0,0.00140367604216325
BONSUCESSO,41198.0,25.0,0.0006068255740569931
CAIS DO PORTO,22382.0,19.0,0.0008488964346349745
CAJAZEIRAS,14478.0,11.0,0.0007597734493714601
CAMBEBA,7625.0,4.0,0.0005245901639344263
CANINDEZINHO,41202.0,29.0,0.0007038493277025387
CARLITO PAMPLONA,29076.0,17.0,0.0005846746457559499
CENTRO,28538.0,30.0,0.0010512299390286635
CIDADE 2000,8272.0,5.0,0.0006044487427466151
CIDADE DOS FUNCIONARIOS,18256.0,9.0,0.000492988606485539
COACU,7188.0,0.0,0.0
COCO,20492.0,1.0,4.879953152449737e-05
CONJUNTO CEARA I,19221.0,7.0,0.00036418500598303936
CONJUNTO CEARA II,23673.0,6.0,0.0002534533012292485
CONJUNTO ESPERANCA,16405.0,15.0,0.0009143553794574825
CONJUNTO PALMEIRAS,36599.0,46.0,0.0012568649416650729
COUTO FERNANDES,5260.0,4.0,0.0007604562737642585
CRISTO REDENTOR,26717.0,17.0,0.0006362989856645581
CURIO,7636.0,11.0,0.0014405447878470404
DAMAS,10719.0,2.0,0.00018658456945610597
DE LOURDES,3370.0,0.0,0.0
DEMOCRITO ROCHA,10994.0,5.0,0.0004547935237402219
DENDE,5637.0,5.0,0.0008869966294128083
DIAS MACEDO,12111.0,10.0,0.000825695648583932
DIONISIO TORRES,15634.0,3.0,0.00019188947166432136
DOM LUSTOSA,13147.0,4.0,0.00030425192059024874
